# [항공] 출처: 한국무역협회(KITA) | 시장 평균 항공운임(Air Freight), 부산발 | 부대비용 별도 / 이용 항공사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
항공,Incheon,북미,Chicago,2015,01,,,,3900.0,3900.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,01,,,,4900.0,4700.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2015,01,,,,3900.0,3900.0,3900.0,USD,2026-05-24
항공,Incheon,북미,New York,2015,01,,,,4000.0,4000.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Toronto,2015,01,,,,3400.0,3400.0,3200.0,USD,2026-05-24
항공,Incheon,중남미,Mexico City,2015,01,,,,5000.0,4900.0,4800.0,USD,2026-05-24
항공,Incheon,유럽,Amsterdam,2015,01,,,,3200.0,2800.0,2800.0,USD,2026-05-24
항공,Incheon,유럽,Frankfrut,2015,01,,,,3100.0,2900.0,2700.0,USD,2026-05-24
항공,Incheon,유럽,London,2015,01,,,,3100.0,2500.0,2500.0,USD,2026-05-24
항공,Incheon,유럽,Paris,2015,01,,,,3200.0,3000.0,2800.0,USD,2026-05-24
항공,Incheon,아시아,Mumbai,2015,01,,,,2000.0,1850.0,1750.0,USD,2026-05-24
항공,Incheon,아시아,New Delhi,2015,01,,,,2200.0,2150.0,1900.0,USD,2026-05-24
항공,Incheon,아시아,Ulaanbaatar,2015,01,,,,3900.0,3900.0,3700.0,USD,2026-05-24
항공,Incheon,아시아,Hanoi,2015,01,,,,1600.0,1600.0,1600.0,USD,2026-05-24
항공,Incheon,아시아,Hochiminh,2015,01,,,,1800.0,1700.0,1700.0,USD,2026-05-24
항공,Incheon,아시아,HongKong,2015,01,,,,600.0,550.0,500.0,USD,2026-05-24
항공,Incheon,아시아,Jakarta,2015,01,,,,1300.0,1250.0,1200.0,USD,2026-05-24
항공,Incheon,아시아,MANILA,2015,01,,,,1000.0,850.0,850.0,USD,2026-05-24
항공,Incheon,일본,Tokyo,2015,01,,,,800.0,800.0,800.0,USD,2026-05-24
항공,Incheon,중국,Beijing,2015,01,,,,900.0,900.0,900.0,USD,2026-05-24
항공,Incheon,중국,Dalian,2015,01,,,,3000.0,2900.0,2850.0,USD,2026-05-24
항공,Incheon,중국,Shanghai,2015,01,,,,450.0,350.0,300.0,USD,2026-05-24
항공,Incheon,중국,Tianjin,2015,01,,,,1600.0,1500.0,1400.0,USD,2026-05-24
항공,Incheon,아프리카,Cairo,2015,01,,,,3200.0,2900.0,2850.0,USD,2026-05-24
항공,Incheon,아프리카,Cape Town,2015,01,,,,4400.0,4400.0,4200.0,USD,2026-05-24
항공,Incheon,오세아니아,Auckland,2015,01,,,,4500.0,4400.0,4300.0,USD,2026-05-24
항공,Incheon,오세아니아,Sydney,2015,01,,,,3100.0,3000.0,2900.0,USD,2026-05-24
항공,Incheon,중동,Abu dhabi,2015,01,,,,3000.0,2800.0,2700.0,USD,2026-05-24
항공,Incheon,중동,Dubai,2015,01,,,,3800.0,2900.0,2900.0,USD,2026-05-24
항공,Incheon,중동,Dammam,2015,01,,,,2600.0,2500.0,2400.0,USD,2026-05-24
항공,Incheon,중동,Riyadh,2015,01,,,,2800.0,2600.0,2600.0,USD,2026-05-24
항공,Incheon,중동,Kuwait,2015,01,,,,3000.0,2700.0,2600.0,USD,2026-05-24
항공,Incheon,중동,Tehran,2015,01,,,,3600.0,3400.0,3400.0,USD,2026-05-24
항공,Incheon,러시아,Moscow,2015,01,,,,3100.0,2700.0,2700.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,02,,,,4700.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,02,,,,5200.0,5100.0,5000.0,USD,2026-05-24
