# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
# [항공] 출처: 한국무역협회(KITA) | 시장 평균 항공운임(Air Freight), 부산발 | 부대비용 별도 / 이용 항공사·물동량·결제조건에 따라 상이 | 공시 운임 구성: 기본 항공운임 + 유류할증료 + 터미널 화물처리비용 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
항공,Incheon,북미,Chicago,2026,05,,,,11236.7,11236.7,11236.7,USD,2026-05-24
항공,Incheon,북미,Chicago,2026,04,,,,9160.0,9153.3,9140.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2026,03,,,,7950.0,7930.0,7890.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2026,02,,,,8420.0,8320.0,8220.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2026,01,,,,8610.0,8610.0,8610.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,12,,,,8440.0,8440.0,8440.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,11,,,,8270.0,8260.0,8250.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,10,,,,8410.0,8400.0,8370.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,09,,,,9130.0,9100.0,9070.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,08,,,,,,,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,07,,,,8740.0,8730.0,8730.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,06,,,,8990.0,8900.0,8830.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,05,,,,8540.0,6500.0,8430.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,04,,,,7660.0,7560.0,7560.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,03,,,,7550.0,7550.0,7500.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2025,01,,,,7620.0,7120.0,6620.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,12,,,,8060.0,7717.0,8018.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,11,,,,8820.0,8820.0,8820.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,10,,,,9570.0,9070.0,8570.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,09,,,,9640.0,9140.0,8640.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,08,,,,9270.0,8770.0,8770.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,07,,,,8670.0,8370.0,8170.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,06,,,,,7840.0,7640.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,05,,,,8340.0,7840.0,7640.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,04,,,,,8250.0,8140.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,03,,,,,9950.0,9750.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,02,,,,,9950.0,9750.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2024,01,,,,0.0,13710.0,13710.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2023,12,,,,,7900.0,7900.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2023,11,,,,8040.0,8040.0,8040.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2020,10,,,,15000.0,15000.0,15000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2020,09,,,,8330.0,8330.0,8330.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2020,03,,,,0.0,0.0,0.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2020,02,,,,3300.0,3200.0,3100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2020,01,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,12,,,,4000.0,3900.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,11,,,,4200.0,4100.0,4000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,10,,,,3700.0,3600.0,3500.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,09,,,,4000.0,3900.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,08,,,,3400.0,3300.0,3200.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,07,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,06,,,,3400.0,3300.0,3200.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,05,,,,3700.0,3600.0,3500.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,04,,,,3600.0,3500.0,3400.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,03,,,,4600.0,4500.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,02,,,,4300.0,4200.0,4100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2019,01,,,,4700.0,4600.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,12,,,,4700.0,4600.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,11,,,,5300.0,5200.0,5100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,10,,,,5300.0,5200.0,5100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,09,,,,5300.0,5200.0,5100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,08,,,,4100.0,4000.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,07,,,,3900.0,3800.0,3700.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,06,,,,3900.0,3800.0,3700.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,05,,,,3900.0,3800.0,3700.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,04,,,,3900.0,3800.0,3700.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,03,,,,4200.0,4100.0,4000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,02,,,,4400.0,4300.0,4200.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2018,01,,,,4600.0,4500.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,12,,,,5300.0,5200.0,5100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,11,,,,5200.0,5100.0,5000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,10,,,,4800.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,09,,,,4500.0,4400.0,4300.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,08,,,,4000.0,3900.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,07,,,,4100.0,4000.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,06,,,,4000.0,3900.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,05,,,,4000.0,3900.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,04,,,,4100.0,4000.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,03,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,02,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2017,01,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,12,,,,4000.0,3900.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,11,,,,4300.0,4200.0,4100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,10,,,,4100.0,4000.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,09,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,08,,,,3200.0,3100.0,3000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,07,,,,3500.0,3400.0,3300.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,06,,,,3200.0,3100.0,3000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,05,,,,3100.0,3000.0,2900.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,04,,,,3100.0,3000.0,2900.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,03,,,,3400.0,3300.0,3300.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,02,,,,3300.0,3200.0,3100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2016,01,,,,3700.0,3400.0,3400.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,12,,,,4400.0,4300.0,4200.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,11,,,,4200.0,4100.0,4000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,10,,,,3900.0,3800.0,3800.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,09,,,,3800.0,3400.0,3400.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,08,,,,3200.0,3100.0,3000.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,07,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,06,,,,3800.0,3700.0,3600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,05,,,,3300.0,3100.0,3100.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,04,,,,4500.0,4400.0,4200.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,03,,,,4700.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,02,,,,4700.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Chicago,2015,01,,,,3900.0,3900.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2026,05,,,,13736.7,13736.7,13736.7,USD,2026-05-24
항공,Incheon,북미,Dallas,2026,04,,,,11010.0,10990.0,10983.3,USD,2026-05-24
항공,Incheon,북미,Dallas,2026,03,,,,10490.0,10430.0,10410.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2026,02,,,,12420.0,12320.0,12220.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2026,01,,,,10935.0,10935.0,10935.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2025,12,,,,9990.0,9990.0,9990.0,USD,2026-05-24
